Biến,Pooled OLS,FEM,REM,PPML,PPML-SUR
GDPpc Nước gốc (ln),-0.2227*,0.1492,0.2456***,0.3255***,0.6988***
,(0.1292),(0.1284),(0.0836),(0.1159),(0.1101)
GDPpc Nước đến (ln),1.1336***,-0.1490,0.0889,0.0612,-0.0611
,(0.1120),(0.1098),(0.0745),(0.1518),(0.0866)
Dân số Nước gốc (ln),0.5278***,-1.2235**,0.2454**,0.4890,0.7479***
,(0.0779),(0.4825),(0.1173),(0.3259),(0.2597)
Dân số Nước đến (ln),0.4859***,-1.5910***,0.1561*,0.1350,-0.1902
,(0.0707),(0.3723),(0.0888),(0.3110),(0.2464)
Khoảng cách (ln),-0.3490***,–,-0.0244,-0.5809***,-0.6715***
,(0.0788),,(0.1045),(0.0267),(0.0116)
Ngôn ngữ chung,1.4780***,–,1.3823***,0.9634***,0.8003***
,(0.2681),,(0.2908),(0.0568),(0.0317)
Biên giới chung,1.3027***,–,1.4249***,1.2175***,1.2447***
,(0.3230),,(0.3567),(0.0656),(0.0271)
Thuộc địa chung,1.0061***,–,1.3798**,0.7785***,1.2551***
,(0.3205),,(0.6510),(0.0514),(0.0326)
Lạm phát Nước gốc,0.0045,0.0032,0.0037,0.0056,0.0034
,(0.0122),(0.0030),(0.0027),(0.0071),(0.0044)
Internet Nước gốc (ln),0.2126***,0.1690***,0.1562***,0.0712,-0.0022
,(0.0715),(0.0389),(0.0342),(0.0435),(0.0313)
Thiên tai Nước gốc (ln),0.0458,-0.0290***,-0.0311***,-0.0185,-0.0140
,(0.0865),(0.0097),(0.0102),(0.0314),(0.0185)
Thiên tai Nước đến (ln),0.4023***,-0.0145,-0.0055,-0.0232,-0.0243
,(0.0794),(0.0096),(0.0085),(0.0334),(0.0209)
N,"8,308","8,308","8,308","14,850","14,850"
R² / Pseudo R²,0.5152,0.1534,0.3956,0.8294,0.9490
R² Within,-0.2457,0.0573,0.4046,0.8294,0.9490
FE Origin,–,✓,–,✓,✓
FE Dest,–,–,–,✓,✓
FE Year,✓,✓,✓,✓,✓
