k,bic,rsq,bic_weight,vars_str
10,30444.18954601587,0.5223560469892378,0.9165198736125574,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|ln_co2_org|ln_disaster_des
11,30450.36863289039,0.5225189738764422,0.04172249008660174,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|ln_co2_org|ln_disaster_org|ln_disaster_des
11,30451.125692593552,0.5224757324874695,0.028574378579660276,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|ln_co2_org|ln_disaster_des
11,30453.091506650726,0.5223634317345279,0.010693150901637985,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_des|ln_co2_org|ln_disaster_des
12,30456.94720177431,0.522659036029151,0.001555435968719311,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|ln_co2_org|ln_disaster_org|ln_disaster_des
12,30459.261590059366,0.5225268703270802,0.000488977760321711,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_des|ln_co2_org|ln_disaster_org|ln_disaster_des
12,30459.55698368949,0.5225099989140539,0.0004218375104096887,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|inflation_des|ln_co2_org|ln_disaster_des
13,30465.302187764253,0.5226976458539343,2.3855580091819037e-05,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|inflation_des|ln_co2_org|ln_disaster_org|ln_disaster_des
10,30541.631902279085,0.5167561599897732,6.350429107282339e-22,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|ln_co2_org|ln_disaster_des
11,30545.159861702563,0.5170741669992657,1.088219282816639e-22,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|inflation_des|ln_co2_org|ln_disaster_des
9,30546.092313731842,0.5159756565850785,6.827112064422279e-23,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|ln_co2_org|ln_disaster_des
9,30548.38623809803,0.5158428255347901,2.1682915863705196e-23,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|ln_co2_org|ln_disaster_des
11,30548.42234958956,0.516885668536651,2.1294927894115424e-23,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|ln_co2_org|ln_disaster_org|ln_disaster_des
12,30551.726200397963,0.5172165325916649,4.081822227598239e-24,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_org|inflation_des|ln_co2_org|ln_disaster_org|ln_disaster_des
10,30553.157268850882,0.5160894849474219,1.995728779536708e-24,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_des|ln_co2_org|ln_disaster_des
10,30553.652101460902,0.5160608411926322,1.5582961014207791e-24,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|ln_co2_org|ln_disaster_org|ln_disaster_des
10,30554.692501523972,0.5160006113287243,9.26253753624356e-25,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|ln_co2_org|ln_disaster_org|ln_disaster_des
10,30555.410665316755,0.5159590316915287,6.468188900723294e-25,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|inflation_org|ln_co2_org|ln_disaster_des
10,30556.98402761436,0.5158679260122342,2.945312719096788e-25,ln_gdppc_org|ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|inflation_des|ln_co2_org|ln_disaster_des
11,30560.676765453467,0.5161769813188686,4.647972817678298e-26,ln_gdppc_des|ln_pop_org|ln_pop_des|ln_dist|comlang_off|contig|colony|inflation_des|ln_co2_org|ln_disaster_org|ln_disaster_des
